,Show Number,Air Date,Round,Category,Value,Question,Answer,value_float
93679,3716,2000-10-30,Jeopardy!,"FILE UNDER ""M""",$200,"A type of lizard, or a desktop computer necessity",monitor,200.0
94025,5997,2010-12-10,Double Jeopardy!,SPANISH TO ENGLISH,$2000,In computer lingo: the 4-letter equivalent of correo basura,spam,2000.0
95779,5076,2006-09-10,Jeopardy!,COMPUTER SPEAK,$600,"When a device can be attached to your computer & install itself, it's PnP, short for this",Plug and Play,600.0
95886,5161,2007-05-02,Jeopardy!,COMPUTING 101,$200,"In computerese, it's the ""app"" in ""killer app""",application,200.0
95892,5161,2007-05-02,Jeopardy!,COMPUTING 101,$400,This 4-letter term for a small image on a computer screen shares its name with a specialized image of a holy person,an icon,400.0
95898,5161,2007-05-02,Jeopardy!,COMPUTING 101,$600,A flatbed one of these optical devices is used to get images into your computer to use on your website,a scanner,600.0
96512,4509,2004-03-25,Jeopardy!,NOTABLE WOMEN,$1000,Grace Hopper was perhaps best-known for co-developing this computer language used in business,COBOL,1000.0
97721,5407,2008-02-26,Jeopardy!,MADE TO MEASURE,$600,Take a nibble if you want 4 of these binary digits of computer code,a bit,600.0
98163,4491,2004-01-03,Double Jeopardy!,"BORN NORTH OF THE BORDER, EH?",$800,Winnipeg-born Douglas Rain provided the voice of this soft-spoken killer computer on film,HAL,800.0
98643,3787,2001-06-02,Double Jeopardy!,"""GOLD""EN NUGGETS",$800,"Using his laptop computer, this actor helps save the human race in the 1996 film ""Independence Day""",Jeff Goldblum,800.0
99278,5629,2009-12-02,Jeopardy!,BRIT SPEAK,"$1,200","Long before it was the name of a computer, it was Brit speak for a raincoat",a mackintosh,1200.0
99503,4899,2005-12-22,Jeopardy!,DIVERSIONS,$400,This game named for a ship used to clear explosives tempts many away from more important computer tasks,Minesweeper,400.0
100332,5682,2009-04-28,Double Jeopardy!,4 Es FOR THEE,$1600,"A ship that drags a body of water for ordnance, or a time-killing computer game",minesweeper,1600.0
100886,5402,2008-02-19,Double Jeopardy!,I'M GIDDY FOR GADGETS,$400,The Cybershot G1 camera  can transfer pictures to your TV or computer using this cable-free technology,Wi-Fi,400.0
101043,4399,2003-10-23,Jeopardy!,MARINE SCIENCE,$600,"Computers can model these, neap type & all, so sailors don't have to rely totally on tables",tides,600.0
101866,4301,2003-04-21,Jeopardy!,FAMOUS FIRSTS,$600,"Charles Babbage got the idea of using these to ""program"" his computer from the ones used in Jacquard looms",punch cards,600.0
102260,4713,2005-02-16,Double Jeopardy!,WE MAKE MONEY THE OLD-FASHIONED WAY,$1200,"""Dude, you're getting"" a lot of this computer company's products, judging by its $41.4 billion in FY 2004 revenues",Dell,1200.0
102423,4991,2006-01-05,Jeopardy!,THERE'S NO BUSINESS LIKE BUSINESS BUSINESS,$1000,In 1963 the Tandy Corporation bought this company; in 1977 it marketed the TRS-80 personal computer,Radio Shack,1000.0
103773,5989,2010-09-30,Jeopardy!,NEW ABBREV.,$200,"In computers ""DOS"" can either stand for disk operating system or this type of attack that keeps users from a site",denial of service,200.0
103979,4508,2004-03-24,Double Jeopardy!,"COMPUTER ""I""s",$400,"Your real desktop may be covered with Post-It notes, while your computer desktop is covered with these images",icons,400.0
104733,4104,2002-06-06,Jeopardy!,"""UP"" WORDS",$200,To improve your computer by incorporating new advances,upgrade,200.0
104747,4104,2002-06-06,Jeopardy!,HITTING THE LINKS,$800,Xerox created the local area network known as this to link computers at its research center,the Ethernet,800.0
104983,3975,2001-07-12,Jeopardy!,GETTING DOWN TO BUSINESS,$600,He's CEO of both Apple Computer & Pixar Animation Studios,Steve Jobs,600.0
105154,4360,2003-11-07,Jeopardy!,B____G,$200,It's an error in a computer program,bug,200.0
105420,5073,2006-04-10,Double Jeopardy!,"STARTS WITH ""J""",$400,Many computer games use this lever,a joystick,400.0
106067,5216,2007-04-23,Double Jeopardy!,COMPUTER NAMES,$1600,"In the line named for this supercomputer genius, the Y-MP reached the speed of 2.3 gigaflops",(Seymour) Cray,1600.0
106069,5216,2007-04-23,Double Jeopardy!,4-SYLLABLE WORDS,$1600,"The word for this type of test you may run on your computer comes from the Greek for ""to know""",a diagnostic,1600.0
106073,5216,2007-04-23,Double Jeopardy!,COMPUTER NAMES,$2000,"Post-ENIAC (& pre-""Flashdance"") came this crazy-sounding 1952 computer that helped create the H-bomb",MANIAC,2000.0
106121,6102,2011-08-03,Double Jeopardy!,ABBREV.,$1200,The computer language COBOL is an acronym: Common this Oriented Language,Business,1200.0
106313,4869,2005-10-11,Jeopardy!,GEEK LOVE,$200,"The Woz, Steve Wozniak, built the first computer for this company",Apple,200.0
106325,4869,2005-10-11,Jeopardy!,GEEK LOVE,$600,This director's geek cred was sealed when he sold his film co.'s computer division & it later became Pixar,George Lucas,600.0
106553,6030,2010-11-26,Double Jeopardy!,"THAT'S IT, I'M ""OUT""",$2000,"A computer device, or a tool that hollows or furrows items",a router,2000.0
107742,6255,2011-11-25,Jeopardy!,PORTMANTEAU WORDS,$800,It's the smallest element of an image on a computer monitor,a pixel,800.0
108335,6083,2011-09-02,Jeopardy!,SURFIN' USB,$600,"In computer speak, ""USB"" stands for ""universal serial"" this--but don't try waiting for one at a stop",a bus,600.0
108347,6083,2011-09-02,Jeopardy!,SURFIN' USB,$1000,USB ports on the 1998 first generation of this Apple computer helped make USB an industry standard,an iMac,1000.0
109267,4235,2003-01-17,Jeopardy!,TEXAS TECH,$600,"Founded by Ross Perot in 1962, Electronic Data Systems got its first computer in 1965, this company's 1401",IBM,600.0
110254,5877,2010-03-16,Double Jeopardy!,"""MON""-OTONY",$400,Display device for a computer,a monitor,400.0
110756,5572,2008-11-25,Double Jeopardy!,"""HEE"" HAW",$1600,A format that allows the user to lay out data in multiple fields on a computer screen,a spreadsheet,1600.0
111369,3538,2000-12-01,Final Jeopardy!,NEOLOGISMS,None,"In his 1984 novel ""Neuromancer"", William Gibson coined this 10-letter term for a virtual reality computer network",Cyberspace,0.0
111474,4166,2002-10-14,Double Jeopardy!,RHYME TIME,$1200,Someone who hunts down people who break into computer networks,hacker tracker,1200.0
112222,4701,2005-01-31,Jeopardy!,HANDY TECHNOLOGY,$800,This company that sells Dimension computers now sells a GPS system for the Axim PDAs,Dell,800.0
112365,3597,2000-04-04,Double Jeopardy!,THE PC,$600,"Apple launched this popular computer line August 15, 1998",iMac,600.0
112371,3597,2000-04-04,Double Jeopardy!,THE PC,$800,"It's the outlet that connects a computer to a keyboard or a mouse; types include serial, parallel & USB",Ports,800.0
113857,3852,2001-08-05,Double Jeopardy!,SUCCESSORS,$600,He followed Gilbert Amelio as Apple Computer's CEO,Steve Jobs,600.0
115209,5404,2008-02-21,Jeopardy!,RHYME TIME,$600,Desires an assortment of letter types & characters for the computer,wants fonts,600.0
115540,5711,2009-08-06,Double Jeopardy!,BUSINESS & INDUSTRY,$1600,"This company had a thinnovation with its ""Air"" computer",Apple,1600.0
116118,3906,2001-03-09,Jeopardy!,DANCES,$400,"It's a lively Spanish-American dance, or a ""Grim"" computer game from Lucas Arts",fandango,400.0
116271,4226,2003-06-01,Double Jeopardy!,SHE'S IN CHARGE,$2000,It computes that Carly Fiorin is chairman & C.E.O. of this computer company abbreviated H.P.,Hewlett-Packard,2000.0
117246,6289,2012-12-01,Jeopardy!,SPELL IT: -ABLE OR -IBLE?,$600,"Easily carried, such as a small TV or software that can run on multiple computers with the same operating system",P-O-R-T-A-B-L-E,600.0
117344,5118,2006-06-12,Double Jeopardy!,DIAGNOSTIC PROCEDURES,$2000,"This imaging procedure doesn't use radiation; it uses radio waves, a large magnet & a computer to generate images",an MRI,2000.0
117515,4247,2003-04-02,Double Jeopardy!,TECH TALK,$1200,Common alliterative term for technology that lets your computer install a device without messy configuring,plug and play,1200.0
119649,5805,2009-04-12,Jeopardy!,"""FACE"" BOOK",$800,To connect a peripheral machine with a computer,interface,800.0
120890,5786,2009-09-11,Jeopardy!,"""B.C.""",$200,"In computer science, ones & zeroes are key to this",binary code,200.0
121265,5147,2007-01-16,Jeopardy!,YOU GOTTA HAVE ART,$600,"This Spanish ""Still Life with Chair Caning"" artist said, ""Computers are useless. They can only give you answers""",Pablo Picasso,600.0
122233,5714,2009-11-06,Jeopardy!,LET ME TAKE YOU DOWN,$800,"In 1996 this Russian chess champ bested an IBM computer in a 6-game tourney; in '97, Deep Blue returned the favor",Kasparov,800.0
122294,5541,2008-10-13,Jeopardy!,SIGNIFICANT PEOPLE,$800,Grace Murray Hopper is credited with applying this 3-letter term to a mysterious computer problem,a bug,800.0
122886,4516,2004-05-04,Jeopardy!,THUMB ENCHANTED EVENING,$600,It's a miniature version of an image on a computer screen that when clicked on will load the full-size image,thumbnail,600.0
123081,4492,2004-02-03,Double Jeopardy!,TECHIES,$400,"RHD, Robert H. Dennard, came up with RAM, this, used in computers since the '70s",random-access memory,400.0
123490,5706,2009-01-06,Jeopardy!,CELEBRITY ANECDOTES,$800,In 2002 this New Orleans pianist & singer patented a device that lets musicians read the score off computer screens,"Harry Connick, Jr.",800.0
125041,5300,2007-09-28,Double Jeopardy!,MEASURE TIME,$1200,"Computer printer image quality is measured in DPI, which sands for this",dots per inch,1200.0
125277,4685,2005-07-01,Double Jeopardy!,MEDICAL CENTER,$1200,"(<a href=""http://www.j-archive.com/media/2005-01-07_DJ_20.jpg"" target=""_blank"">Jimmy of the Clue Crew demonstrates a medical device.</a>)  Nonprofessionals can learn to use an Automated External one of these heart devices  <i>(Computer voice): Place the electrodes on patient's bare chest</i>",a defibrillator,1200.0
125306,4199,2002-11-28,Jeopardy!,"HOW AM ""I"" DOING?",$400,"In 1981 this company introduced its first home computer, the PC",IBM,400.0
125362,3562,2000-02-15,Jeopardy!,COMPUTER CLASSES,$200,"SYSADMIN, one who maintains a computer network, is short for this",System administrator,200.0
125368,3562,2000-02-15,Jeopardy!,COMPUTER CLASSES,$300,This 4-letter word from Sanskrit means someone who is a computer knowledge resource,Guru,300.0
126937,5268,2007-04-07,Double Jeopardy!,"""IDI"" I MEAN",$1200,"(<a href=""http://www.j-archive.com/media/2007-07-04_DJ_03.mp3"">Listen.</a>) You're hearing this type of file for communication between electronic instruments & computers",a midi file,1200.0
127019,5470,2008-05-23,Jeopardy!,FAMOUS FACES IN HISTORY,$200,"Recent computer analysis determined her face is 83% happy, 9% disgusted, 6% afraid & 2% angry",Mona Lisa,200.0
127777,6021,2010-11-15,Double Jeopardy!,ONLINE SHOPPING,$400,"It traces its roots to 1995 & Pierre Omidyar, a computer programer who wrote the code for an auction website",eBay,400.0
128143,5652,2009-03-17,Double Jeopardy!,THE ANSWER LIES WITHIN,$800,"To find this type of dictionary on your computer, double click the Alex icon",a lexicon,800.0
129425,4860,2005-10-28,Jeopardy!,SCIENCE LAB,$800,In 1969 Marcian Hoff Jr. condensed all of a computer's arithmetic functions to this one tiny chip,a microprocessor chip,800.0
130199,5222,2007-01-05,Jeopardy!,PC MAGAZINE,$400,"The <a href=""http://www.j-archive.com/media/2007-05-01_J_08.jpg"" target=""_blank"">cover</a> of the first PC Magazine featured this company's new desktop computer, which helped launch an industry",IBM,400.0
130205,5222,2007-01-05,Jeopardy!,PC MAGAZINE,$600,For 16 years this computer maker put an ad on the back page of PC Mag to promote & pioneer its direct PC sales,Dell,600.0
130272,5883,2010-03-24,Jeopardy!,JOKING MATTERS,$800,"Emo Philips: A computer ""once beat me at"" this game ""but it was no match for me at kickboxing""",chess,800.0
130570,5471,2008-05-26,Jeopardy!,WEIGHTS & MEASURES,$600,"Computer hard drives are usually measured in GBs, which are these",gigabytes,600.0
131219,4907,2006-03-01,Jeopardy!,HACKER CINEMA,$600,In this 1999 film a character named for the god of dreams searches for the one who will destroy a computer world,The Matrix,600.0
131225,4907,2006-03-01,Jeopardy!,HACKER CINEMA,$800,Matthew Broderick almost starts WWIII when he hacks into a military computer in this film,War Games,800.0
131289,4736,2005-03-21,Jeopardy!,YOU COULD HURT SOMEONE,$800,On a standard computer keyboard it shares a key with the question mark,a slash,800.0
131589,3945,2001-10-26,Jeopardy!,SOFTWARE THAT BYTES,$400,Every March 6 your computer can be infected by this virus named for a Renaissance artist,Michelangelo,400.0
131671,5602,2009-06-01,Double Jeopardy!,"10-, 11- & 12-LETTER WORDS",$800,"Originally a computer term, it now refers to doing any number of jobs at the same time",multitasking,800.0
131852,5780,2009-10-30,Jeopardy!,DROP OUT,$400,"Both named Steve, these 2 now fabulously wealthy college dropouts founded Apple Computer",Steve Jobs & Steve Wozniak,400.0
132037,5247,2007-05-06,Jeopardy!,POPULAR SCIENCE BEST OF 2006,$800,"(<a href=""http://www.j-archive.com/media/2007-06-05_J_09.jpg"" target=""_blank"">Jon of the Clue Crew demonstrates near a computer.</a>)  With gesture recognition software and a webcam, you can play one of these and actually <a href=""http://www.j-archive.com/media/2007-06-05_J_09.wmv"">hear</a> yourself jam",an air guitar,800.0
132783,4591,2004-07-19,Double Jeopardy!,COMPUTER PROGRAMS,$1200,One type of this keeps flames from spreading; another keeps snoops out of a computer network,a firewall,1200.0
133418,4539,2004-06-05,Double Jeopardy!,WHICH CAME FIRST?,$400,"The personal computer, the light bulb, the transistor radio",the light bulb,400.0
133791,6266,2011-12-12,Double Jeopardy!,THE RAND CORPORATION,$1200,"In the first book on this, computers doing tasks associated with human intellect, 6 chapters had been Rand reports",Artificial Intelligence,1200.0
134141,5762,2009-06-10,Double Jeopardy!,MICROSOFT,$800,"(<a href=""http://www.j-archive.com/media/2009-10-06_DJ_22.wmv"">Sarah of the Clue Crew uses her fingers to move some virtual documents around on a large tabletop flat screen monitor.</a>)  Technology that allows a computer to recognize the position & motion of my hands brought Microsoft its 10,000th one of these from the government in 2009",a patent,800.0
134159,5762,2009-06-10,Double Jeopardy!,MICROSOFT,$2000,"(<a href=""http://www.j-archive.com/media/2009-10-06_DJ_25.wmv"">Sarah of the Clue Crew plays with a mouse on a computer at a museum exhibit at Microsoft Research in Redmond, WA.</a>)  One of the reasons windows sold a million copies a month in the '90s was the GUI, short for this, which let users communicate with the computer via symbols & icons",graphical user interface,2000.0
134283,4737,2005-03-22,Final Jeopardy!,CYBER-GLOSSARY,None,In computerese this word from the Hindu faith means an icon of a user in virtual reality,an avatar,0.0
134479,3920,2001-09-21,Jeopardy!,THE NEW YORK TIMES BOOK REVIEWS,"$1,000",In a 1999 review Stephen King called this title character a Count Dracula for the computer age,Hannibal Lecter,1000.0
134665,5162,2007-06-02,Jeopardy!,"""V""OCABULARY",$600,One kind of computer simulation is called this type of reality,virtual,600.0
135164,4322,2003-05-20,Double Jeopardy!,COMPUTER GENIUSES,$800,"A real mensch, William D. Mensch, designed the processors in Wozniak & Jobs' early computers from this company",Apple,800.0
135182,4322,2003-05-20,Double Jeopardy!,COMPUTER GENIUSES,$2000,"Ed Roberts built the first true personal computer & named it this model 8800, after a star",Altair,2000.0
136755,4157,2002-01-10,Jeopardy!,THE RISE OF THE MACHINES,$1000,"In computers, the ILLIAC IV pioneered the simultaneous processing of many operations, known by this geometric term",parallel processing,1000.0
138409,6149,2011-12-05,Jeopardy!,YOU GET A STAR,$800,"Many Milky Way stars pair with another around a common center of gravity & are called this, like a computer code",a binary,800.0
138827,4130,2002-12-07,Jeopardy!,NEWER WORDS & PHRASES,$600,It's the 3-character acronym  computer users and non-users alike used for the year 2000,Y2K,600.0
140523,6241,2011-07-11,Double Jeopardy!,9-LETTER WORDS,$1600,This type of computer program is available for free on a trial basis; then a fee is paid for continued usage,shareware,1600.0
141395,6006,2010-10-25,Double Jeopardy!,THINGS ARE SLOW,$400,"If your computer is slow, try scanning this & then defragmenting it",your hard drive,400.0
144398,4173,2002-10-23,Jeopardy!,"""R""RRRRRRRRR",$200,"Sometimes it's necessary to do this, meaning to reload your computer's operating system",reboot,200.0
145140,6290,2012-01-13,Jeopardy!,MAKING CONNECTIONS,$1000,"In ""Sixteen Candles"" the geek predicts, ""Me and her will"" do this, the connection of a computer & an outside entity",interface,1000.0
145361,4236,2003-01-20,Jeopardy!,"""V"" LOVE IT!",$200,"With names like Michelangelo & Black Widow, they're designed to vandalize your computer system",viruses,200.0
145630,3829,2001-05-04,Double Jeopardy!,DAISY CRAZY,$400,It's used as the printing element in certain electric typewriters & older computer printers,a daisy wheel,400.0
147111,5245,2007-01-06,Jeopardy!,WE HAVE THE TECHNOLOGY,$1000,"(<a href=""http://www.j-archive.com/media/2007-06-01_J_24.jpg"" target=""_blank"">Jimmy of the Clue Crew plugs us in to the next clue.</a>) A common way of linking computers in the office is this type of local area networking technology, which uses a Cat5 cable with a special connector",ethernet,1000.0
147357,4840,2005-09-30,Double Jeopardy!,SANDRA BULLOCK MOVIES,$400,Computer expert Angela Bennett,The Net,400.0
148226,4358,2003-09-07,Final Jeopardy!,COMPUTERS,None,In 2003 Dell made this computer part on its PCs an option; Apple had stopped including it on Macintoshes 5 years earlier,floppy (or 3 1/2 inch) disk drive,0.0
148611,3799,2001-02-22,Double Jeopardy!,THE NEW YORK TIMES SCIENCE TIMES,$200,A computer programmed by Dr. David Fogel taught itself this game that includes jumping & crowning,checkers,200.0
149689,4369,2003-11-09,Double Jeopardy!,L'HOMME,"$2,000",A unit of pressure & a computer programming language are named for this mathematician,(Blaise) Pascal,2000.0
150785,6246,2011-11-14,Jeopardy!,20 FOR DUMMIES,$600,"Released in 1991, this 3-letter computer abbreviation ""for Dummies"" was the first in the ""For Dummies"" series",DOS,600.0
150820,6246,2011-11-14,Double Jeopardy!,4 STRAIGHT VOWELS,$1200,"A line of waiting people, or a sequence of stored computer data awaiting processing",a queue,1200.0
152726,3615,2000-04-28,Double Jeopardy!,TV MOVIES,$400,"[Hi, I'm Noah Wyle]  In ""The Pirates of Silicon Valley"", I played Steve Jobs & Anthony Michael Hall played this rival computer geek",Bill Gates,400.0
153478,4995,2006-05-05,Jeopardy!,A VISIT TO INTEL CORP.,$200,"(<a href=""http://www.j-archive.com/media/2006-05-05_J_24.jpg"" target=""_blank"">Jon of the Clue Crew reports from the Intel Corporation in Santa Clara, CA.</a>) As a semiconductor that can either conduct or resist electricity, this element has become the raw material of computer chips",silicon,200.0
153490,4995,2006-05-05,Jeopardy!,A VISIT TO INTEL CORP.,$600,"(<a href=""http://www.j-archive.com/media/2006-05-05_J_27.jpg"" target=""_blank"">Kelly of the Clue Crew reports from the Intel Corporation in Santa Clara, CA.</a>)  Invented in 1947, <a href=""http://www.j-archive.com/media/2006-05-05_J_27a.jpg"" target=""_blank"">this</a> device that replaced the vacuum tube can now be a mere 150 atoms thick on a computer chip",a transistor,600.0
153884,4224,2003-02-01,Double Jeopardy!,FOOD WORDS & PHRASES,$1200,It's information stored on your computer to record your activities when visiting a website,cookie,1200.0
155157,5844,2010-01-28,Double Jeopardy!,CALLIGRAPHY,$2000,"(<a href=""http://www.j-archive.com/media/2010-01-28_DJ_10.jpg"" target=""_blank"">Kelly of the Clue Crew does some calligraphy.</a>)  A small stroke that begins or ends a letter is called one of these; you may have seen them on your computer's font list",serif,2000.0
155341,4616,2004-04-10,Jeopardy!,CHAT ROOM LINGO,$200,"""CAD"" stands for these 3 computer keys (often used together)",Ctrl+Alt+Delete,200.0
155549,3722,2000-07-11,Jeopardy!,HOW SOON WE FORGET,$500,"""Colorful"" name of the IBM computer that lost to Garry Kasparov in 1996 & beat him in '97",Deep Blue,500.0
155839,6216,2011-03-10,Jeopardy!,I'M GAME,$1000,This solitaire game goes back to a version Paul Alfille wrote in 1978 for the Plato computer system,FreeCell,1000.0
156101,5991,2010-04-10,Double Jeopardy!,COMPUTER MILESTONES,$1200,"1982: this company's 64 computer is introduced, soon becoming the best-selling model of all time",Commodore,1200.0
156113,5991,2010-04-10,Double Jeopardy!,COMPUTER MILESTONES,$2000,"1969: He develops the first supercomputer, the CDC 7600",(Seymour) Cray,2000.0
156923,4298,2003-04-16,Double Jeopardy!,2001: A CATEGORY ODYSSEY,$800,"I'm sorry, Dave, Douglas Rain provided the voice of this ultimately murderous computer",HAL,800.0
158281,5614,2009-01-22,Jeopardy!,VIDEO GAMES,$800,"Computer Space, the first arcade video game, makes a cameo in this 1973 sci-fi film (spoiler: the title is people!)",Soylent Green,800.0
164863,5182,2007-06-03,Jeopardy!,BUSINESS PEOPLE,$800,"He started his company in 1984, building & selling computers out of his dorm at the University of Texas",(Michael) Dell,800.0
165052,3702,2000-10-10,Double Jeopardy!,THAT'S A MOVIE TITLE,$200,This 2000 computer virus was considerably more destructive than Herbie,The Love Bug,200.0
166228,6039,2010-09-12,Jeopardy!,IN THE DOGHOUSE,$400,London's Elmtree offers under-floor heating & has installed these so you can view your pet via computer,webcams,400.0
166804,5524,2008-09-18,Double Jeopardy!,ACCELERATOR,$1600,"(<a href=""http://www.j-archive.com/media/2008-09-18_DJ_05.jpg"" target=""_blank"">Jimmy of the Clue Crew turns from a computer terminal at the Stanford Linear Accelerator in Menlo Park, CA.</a>) It took 6 years to build the SLC, Stanford Linear this, to make particles <a href=""http://www.j-archive.com/media/2008-09-18_DJ_05.wmv"">smash</a> into each other at high energy",Collider,1600.0
166981,6205,2011-07-29,Double Jeopardy!,15 LETTERS OR MORE,$1600,"Like shy people, computer software also has these flaws or weaknesses that affect the security of the computer",vulnerabilities (or susceptibilities),1600.0
167052,4649,2004-11-18,Jeopardy!,NASA PRODUCTS,$200,"Fans of computer flight simulations are ecstatic about this type of controller, developed for the lunar rover",joy stick,200.0
167261,3679,2000-07-09,Double Jeopardy!,TO THE MAX,$200,In the 1980s this computer-generated character was featured in Coca-Cola ads & his own ABC series,Max Headroom,200.0
167709,5078,2006-11-10,Jeopardy!,"I'D RATHER ""NOT""",$400,Generic name for a lightweight laptop computer,notebook (or notepad),400.0
168389,4533,2004-04-28,Double Jeopardy!,ACRONYMBLE,$1200,To a computer user: DOS,disk operating system,1200.0
168647,6298,2012-01-25,Jeopardy!,20th CENTURY WORDS & PHRASES,$400,This 2-word term for the idea that a computer could think like a human was coined in the 1950s,artificial intelligence,400.0
168659,6298,2012-01-25,Jeopardy!,20th CENTURY WORDS & PHRASES,$800,This 9-letter word popped up for a place where you could enjoy a beverage or a light meal while using your computer,a cybercafe,800.0
168665,6298,2012-01-25,Jeopardy!,20th CENTURY WORDS & PHRASES,$1000,"It follows ""sex"" to mean a certain urge; once the computer age hit, it also followed ""hard""",drive,1000.0
169514,5776,2009-10-26,Double Jeopardy!,"""EEN""",$800,A program that constantly shifts the pattern on your computer monitor to prevent damage to it,a screen saver,800.0
171184,4778,2005-05-18,Jeopardy!,MY PC LIFE,$800,"Like the asbestos partitions on my house, I use ZoneAlarm as this type of software to keep my computer secure",a firewall,800.0
172796,6220,2011-07-10,Jeopardy!,NAME CALLING,$800,"Not so computer savvy, are you?  You're just a this--like a non-sorcerer in Harry Potter",a muggle,800.0
177251,4824,2005-07-21,Jeopardy!,SOUND TECHNOLOGY,$200,"<a href=""http://www.j-archive.com/media/2005-07-21_J_22.mp3"">This</a> computer device slowly takes you online",a modem,200.0
179313,4163,2002-09-10,Jeopardy!,"GIMME AN ""E""!",$1000,Phone home!  The computer Internet domain of this country is .et,Ethiopia,1000.0
179535,5343,2007-11-28,Double Jeopardy!,COMPUTER HISTORY,$400,"Unlike modern computers that use microprocessors, ENIAC used 18,000 of these tube to process data",vacuum tubes,400.0
179823,3706,2000-10-16,Jeopardy!,'TOON IN,$400,This first completely computer-generated feature film was released in 1995,Toy Story,400.0
180509,4767,2005-03-05,Double Jeopardy!,MICROSOFT,$1600,"Now both an NFL & NBA team owner, he co-wrote a ""BASIC"" computer language for the Altair 8800 in 1975",Paul Allen,1600.0
180515,4767,2005-03-05,Double Jeopardy!,MICROSOFT,$2000,"MS-DOS for short, this was introduced on IBM personal computers in 1981",Microsoft Disk Operating System,2000.0
181970,6155,2011-05-20,Double Jeopardy!,CARS OF THE FUTURE PRESENT,$2000,"(<a href=""http://www.j-archive.com/media/2011-05-20_DJ_30.jpg"" target=""_blank"">Sarah of the Clue Crew reports from the Argonne National Laboratory in Chicago, IL.</a>)  Designed to take advantage of available supply, the 3-fuel mix of Argonne's omnivorous engine means the computer has to solve a new problem dozens of times a second, as it figures what mix to use for each firing, also called this event",combustion,2000.0
183907,5528,2008-09-24,Jeopardy!,"STARTS WITH FEB, TREBEK",$800,Computer displays in some 2004 Pontiacs showed the wrong day of the week because engineers forgot about this date,February 29th,800.0
184566,5649,2009-12-03,Double Jeopardy!,SHOW BUSINESS,$400,This company took a big step in computer animation by buying Pixar,Disney,400.0
185792,4847,2005-11-10,Jeopardy!,GAMES PEOPLE PLAY,$400,In 1985 Russian computer scientist Alexey Pajitnov created this maddening video game that features blocks,Tetris,400.0
185800,4847,2005-11-10,Jeopardy!,"""OFF"" THE BEATEN PATH",$600,Term for working on a computer that is not on the network,offline,600.0
187092,5333,2007-11-14,Double Jeopardy!,NERDVANA,$1200,Readyboost is a new feature that lets a flash drive become RAM for your computer on this Windows operating system,Windows Vista,1200.0
189125,5802,2009-01-12,Jeopardy!,CHESS,$200,World champ Garry Kasparov lost a 1997 match to a computer program from this company,IBM,200.0
193284,5508,2008-07-16,Jeopardy!,PUN-ISHMENT,$400,"Punning on a Men at Work song, it's what the computer geek called a local area network he built in Melbourne",the LAN Down Under,400.0
193508,4228,2003-08-01,Double Jeopardy!,"""P"" ENDINGS",$2000,It's the type of computer display abbreviated BMP,bitmap,2000.0
194648,3629,2000-05-18,Double Jeopardy!,QUASI-RELATED PAIRS,$1000,"The computer in the movie ""Alien"" & French Chef Julia",Mother & Child,1000.0
196068,5434,2008-03-04,Jeopardy!,THE 2007 FORBES 400,$400,"""$17.2 billion... started selling computers from... dorm room 1984 with $1,000""",Michael Dell,400.0
196142,5003,2006-05-17,Jeopardy!,TECHWORD MASH-UP,$800,"The product ""McAfee Anti-"" this 7-letter mashed-up word keeps prying eyes out of your computer",spyware,800.0
197501,5502,2008-08-07,Jeopardy!,FUN ACROSS AMERICA,$600,"Log on to your computer to learn that Knott's Berry Farm claims to have the very first one of these ""log"" rides",a flume,600.0
197848,5884,2010-03-25,Jeopardy!,WEAK RHYMES,$200,A computer nerd,a geek,200.0
198884,5604,2009-08-01,Double Jeopardy!,THIS JUSTIN,$400,The core of Justin Long's career is playing the Mac in this company's computer commercials,Apple,400.0
199963,3892,2001-03-07,Jeopardy!,"HOT ""BUN""s",$400,2 or more computer software programs packaged together are said to be this,Bundled,400.0
200347,4976,2006-10-04,Double Jeopardy!,DEAF & BLIND,$1200,"(<a href=""http://www.j-archive.com/media/2006-04-10_DJ_26.jpg"" target=""_blank"">Jon of the Clue Crew delivers the clue from the Alabama Institute for Deaf & Blind.</a>)  Students at Alabama Institute for Deaf & Blind have talking computers & <a href=""http://www.j-archive.com/media/2006-04-10_DJ_26a.jpg"" target=""_blank"">these</a> note-taking writers named for a famous Frenchman",Braille writers,1200.0
201460,5554,2008-10-30,Jeopardy!,RETRONYMS,$800,This retronym for a type of computer also means a screen with icons on it,a desktop,800.0
201820,4563,2004-09-06,Jeopardy!,"GOING ""SOFT"" ON US, EH?",$600,Applications & programs for computers,software,600.0
202383,4495,2004-05-03,Double Jeopardy!,SEW WHAT?,$400,"If your pincushion is this, keep it away from your computerized sewing machine; it could erase the memory",magnetized,400.0
203288,4902,2005-12-27,Double Jeopardy!,CEOs,$400,"This computer company chairman gave the keynote address at the ""CEO Summit 2004"" held in Redmond, Washington",Bill Gates,400.0
203306,4902,2005-12-27,Double Jeopardy!,CEOs,$1600,"Thomas J. Watson led this computer company to great heights as its CEO by telling his employees to ""Think""",IBM,1600.0
204059,3535,2000-07-01,Jeopardy!,WE GET LETTERS,$500,This symbol for computer storage is equivalent to 1024 bytes,K,500.0
205453,4080,2002-03-05,Jeopardy!,THE NEW YORK TIMES HEADLINES,$200,"In 1988, yes, 1988, the Times reported, ""For computers"" this year ""may prove a bit traumatic""",2000,200.0
